sku,unit_cogs,product_name
VV-VITA-129,3.99,"Nachfolgeprodukt - Ingwer BIO, 120 Kapseln"
VV-VITA-304,4.26,"Nachfolgeprodukt - Folat, 120 Kapseln"
VV-VITA-124,8.87,"Nachfolgeprodukt - Vitamin C BIO aus Acerola, 180 Kapseln"
VV-VITA-329,5.69,"Nachfolgeprodukt - Vitamin C liposomal, 120 Kapseln"
VV-VITA-339,6.92,"Nachfolgeprodukt - L-Tyrosin Plus, 180 Kapseln"
VV-VITA-398,3.35,Multi Gummies Kids 60GUMS
VV-VITA-320-V,11.67,Vegan Collagen + Hyaluronic Acid 240K
VV-VITA-355-V,16.14,L-Glutathion 180K
VV-VITA-198-V,13.1,Bromelain 240K
VV-VITA-399,6.91,Glucomannan Complex 180K
VV-VITA-401,4.78,Mönchspfeffer 240K
VV-VITA-402,7.17,UN-BLOAT 120K
VV-VITA-403,6.22,Magnesiumcitrat Pulver 500g
VV-VITA-338,6.96,"UMGEBUCHT - Curcuma BIO, 120 Kapseln"
VV-VITA-404,6.53,Salbei Extrakt 120K
VV-VITA-370-V,9.1,Magnesium Bisglycinat 365K
VV-VITA-248-V,11.8,Oregano BIO-Öl 180K
VV-VITA-405,3.8,Vitamin B12 180T DE
VV-VITA-406,4.68,Vitamin B12 180T non-DE
VV-VITA-31,5.48,"UMGEBUCHT - Papaya Enzym, 120 Kapseln"
VV-VITA-407,8.83,Green Supreme 270g
VV-VITA-408,7.05,Gut Routine 300g
VV-VITA-308,7.18,"Nachfolgeprodukt - Digestive Enzymes, 180 Kapseln"
VV-VITA-311,5.77,"Nachfolgeprodukt - NAC, 180 Kapseln"
VV-VITA-237,4.41,"Nachfolgeprodukt - Cholin Trio, 90 Kapseln"
VV-VITA-122-V,8.5,"Nachfolgeprodukt - Immu Pro Complex, 240 Kapseln"
VV-VITA-370-V,9.1,"Nachfolgeprodukt - Magnesium Bisglycinat, 365 Kapseln"
BJ-E223-8EKW,8.15,"Nachfolgeprodukt - Moringa BIO, 270 Kapseln"
VV-VITA-190,6.4,"Nachfolgeprodukt - Papaya BIO, 120 Kapseln"
VV-VITA-49,6.38,"Eisen Bisglycinat, 120 Kapseln"
