campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi;658296413;1.4.2026;cpc;0,31;;71;0;0;0;0;0;0;14251013;4260309481665;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina;649092862;1.4.2026;cpc;0,41;;70;1;1,428571;0;0,41;0;0;upmYPTY2W;4260557421925;0,41
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano Plus;649143954;1.4.2026;cpc;0,31;;68;1;1,470588;0;0,31;0;0;upmR9H2HU;4260557422892;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279992;1.4.2026;cpc;0,31;;66;1;1,515152;0;0,31;0;0;upmUFEEWW;4260557420300;0,31
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;649106236;1.4.2026;cpc;0,31;;65;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Triphala BIO;649077190;1.4.2026;cpc;0,31;;64;0;0;0;0;0;0;upmGL239Y;4260557420812;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Triptofano;658352473;1.4.2026;cpc;0,31;;64;1;1,5625;0;0,31;0;0;14250841;4260309481108;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;1.4.2026;cpc;0,51;;63;1;1,587302;0;0,51;0;0;upmYRCT9P;4260557422908;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;643093526;1.4.2026;cpc;0,61;;63;2;3,174603;0;1,22;0;0;upm2HFKPC;4260557422021;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103715;1.4.2026;cpc;0,51;;62;3;4,83871;0;1,53;0;0;upmKY422A;4260557422212;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;1.4.2026;cpc;0,51;;62;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;1.4.2026;cpc;0,61;;62;3;4,83871;0;1,83;0;0;upm7GZX42;4260557423165;0,61
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445117;1.4.2026;cpc;0,31;;61;0;0;0;0;0;0;14250775;4260309483089;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;1.4.2026;cpc;1,01;;59;3;5,084746;0;3,03;0;0;upmKYYZM4;4260557423486;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077192;1.4.2026;cpc;0,31;;58;1;1,724138;0;0,31;0;0;upm7C9XR2;4260557420836;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;1.4.2026;cpc;1,01;;58;3;5,172414;0;3,03;0;0;upm2XGYDU;4260557422489;1,01
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Guggul;649077297;1.4.2026;cpc;0,31;;58;0;0;0;0;0;0;upmT99EZK;4260557421123;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;620566536;1.4.2026;cpc;0,51;;58;2;3,448276;0;1,02;0;0;upmUPLLZH;4260557420676;0,51
