campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reishi Extrakt;619660758;2.3.2026;cpc;0,51;;6;0;0;0;0;0;0;14251013;4260309481665;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Bitartrat;658283014;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmU9FP9M;4260557423325;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;658347520;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chaga BIO;629497666;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmPYECDL;4260557422298;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO;658280002;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmDHLCKL;4260557420560;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reishi Extrakt;625763780;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;14251013;4260309481665;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO EAA;625771660;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmGMXXY9;4260557420744;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Brennnessel BIO;619682703;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upm9RX43T;4260557421031;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reishi BIO;625763782;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmZRC9TD;4260557420706;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;643093628;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;625789014;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
