campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653866107;7.5.2026;cpc;0,31;;55;1;2;0;0,31;0;0;14250551;4260309484208;0,31
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;7.5.2026;cpc;0,51;;51;1;2;0;0,51;0;0;upmGPMUEM;4260557422427;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649143283;7.5.2026;cpc;0,31;;53;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658280057;7.5.2026;cpc;0,61;;60;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347622;7.5.2026;cpc;1,41;;48;1;2,083333;0;1,41;0;0;upmK3CG99;4260557422656;1,41
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;625777201;7.5.2026;cpc;0,51;;48;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077192;7.5.2026;cpc;0,31;;51;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620608017;7.5.2026;cpc;0,51;;47;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353187;7.5.2026;cpc;0,51;;44;0;0;0;0;0;0;14251183;4260309481672;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO +  Clorella BIO;658331796;7.5.2026;cpc;0,51;;44;2;4,545455;0;1,02;0;0;14250597;4260309484185;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Iodio naturale BIO;658445105;7.5.2026;cpc;1,01;;43;0;0;0;0;0;0;14250769;4260557420256;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;620609091;7.5.2026;cpc;0,51;;43;0;0;0;0;0;0;14250640;4260309482747;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;658445099;7.5.2026;cpc;1,01;;43;0;0;0;0;0;0;14250812;4260557420188;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi;658296413;7.5.2026;cpc;0,31;;50;0;0;0;0;0;0;14251013;4260309481665;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio Complex;658381392;7.5.2026;cpc;0,3;;49;0;0;0;0;0;0;14250640;4260309482747;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola Rosea;658445094;7.5.2026;cpc;0,31;;48;0;0;0;0;0;0;14251036;4260557420102;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;643090783;7.5.2026;cpc;0,41;;47;1;2,380952;0;0,41;0;0;upmUR4ZK4;4260557421239;0,41
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;641629249;7.5.2026;cpc;0,51;;42;0;0;0;0;0;0;upmD23XCL;4260557422823;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;626442372;7.5.2026;cpc;1,51;;41;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658334363;7.5.2026;cpc;0,31;;45;1;2,439024;0;0,31;0;0;upmR9H4DE;4260557422595;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381384;7.5.2026;cpc;0,31;;45;0;0;0;0;0;0;upmF2AFXC;4260557423509;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;643092529;7.5.2026;cpc;0,31;;49;0;0;0;0;0;0;upm97PFY9;4260557421826;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620605193;7.5.2026;cpc;1,01;;40;0;0;0;0;0;0;14250551;4260309484208;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Liposomiale;620566158;7.5.2026;cpc;0,81;;40;2;5;0;1,62;0;0;upm77WEEP;4260557422786;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;649122256;7.5.2026;cpc;0,31;;51;0;0;0;0;0;0;upmD23XCL;4260557422823;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;620605288;7.5.2026;cpc;0,51;;40;1;2,564103;0;0,51;0;0;upmHHT433;4260557421390;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;658295837;7.5.2026;cpc;0,51;;39;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Astaxanthin ?l;618496738;7.5.2026;cpc;1,41;;39;0;0;0;0;0;0;upm7GZX42;4260557423165;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;649171519;7.5.2026;cpc;0,51;;39;1;2,564103;0;0,51;0;0;upm9ZTF3H;4260557421178;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;7.5.2026;cpc;1,01;;40;2;5,128205;0;2,02;0;0;14250551;4260309484208;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145192;7.5.2026;cpc;1,11;;45;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano Plus;641649766;7.5.2026;cpc;0,51;;39;2;5,128205;0;1,02;0;0;upmR9H2HU;4260557422892;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera Plus;649149549;7.5.2026;cpc;0,81;;52;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658353200;7.5.2026;cpc;0,61;;47;0;0;0;0;0;0;upm7PGM77;4260557421765;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;643094174;7.5.2026;cpc;0,31;;42;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
