campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;3.5.2026;cpc;0,91;;176;5;3,08642;0;4,55;0;0;upmUX2FW3;4260557420638;0,91
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;625779008;3.5.2026;cpc;1,71;;156;1;0,641026;0;1,71;0;0;upm9KDWAZ;4260557421383;1,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;3.5.2026;cpc;0,61;;159;0;0;0;0;0;0;upm7GZX42;4260557423165;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;3.5.2026;cpc;1,01;;137;2;1,459854;0;2,02;0;0;upm2XGYDU;4260557422489;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;3.5.2026;cpc;0,81;;154;2;1,470588;0;1,62;0;0;upm9KDWAZ;4260557421383;0,81
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;3.5.2026;cpc;0,51;;134;1;0,746269;0;0,51;0;0;upmK7YWLD;4260557422649;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;3.5.2026;cpc;0,51;;132;9;6,818182;0;4,59;0;0;upmUZUHTT;4260557421888;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);658280014;3.5.2026;cpc;0,51;;156;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280064;3.5.2026;cpc;1,31;;115;4;3,478261;0;5,24;0;0;upm7FHKKZ;4260557421437;1,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;658280092;3.5.2026;cpc;0,51;;108;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727261;3.5.2026;cpc;1,31;;109;1;0,934579;0;1,31;0;0;upmCEE43U;4260557420515;1,31
