campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artischocke BIO;625777974;14.11.2025;;1;0;0;0;0;0;0;upmUTCWKM;4260557421215;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM;658296382;14.11.2025;;1;0;0;0;0;0;0;14250924;4260309484130;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chrom Plus;641642728;14.11.2025;;1;0;0;0;0;0;0;upmL7ZDD2;4260557422946;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi Extrakt;643082721;14.11.2025;;1;0;0;0;0;0;0;14251013;4260309481665;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;658280086;14.11.2025;;1;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM 670mg;643078424;14.11.2025;;1;0;0;0;0;0;0;14250924;4260309484130;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Quercetin Komplex;658469903;14.11.2025;;1;1;100;0;1,01;0;0;upmF2AFXC;4260557423509;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rapunzel;658295813;14.11.2025;;1;0;0;0;0;0;0;upmDUFHFK;4260557423134;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi Extrakt;658279956;14.11.2025;;1;0;0;0;0;0;0;14251013;4260309481665;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Malat Pulver;658469900;14.11.2025;;1;0;0;0;0;0;0;upm7K39U2;4260557423493;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;625782152;14.11.2025;;1;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;625771655;14.11.2025;;1;0;0;0;0;0;0;upmUPLLZH;4260557420676;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shilajit Mumijo;649090838;14.11.2025;;1;0;0;0;0;0;0;upmR33A3P;4260557421406;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Boswellia Extrakt;643094189;14.11.2025;;1;0;0;0;0;0;0;upmEH2K74;4260557422588;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Carciofo BIO;649084128;14.11.2025;;1;0;0;0;0;0;0;upmUTCWKM;4260557421215;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reishi Extrakt;619660758;14.11.2025;;1;0;0;0;0;0;0;14251013;4260309481665;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bilberry + Pine Bark BIO;658347582;14.11.2025;;1;0;0;0;0;0;0;upm2LFWC7;4260557422076;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO;625770439;14.11.2025;;1;0;0;0;0;0;0;upmDHLCKL;4260557420560;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;643084947;14.11.2025;;1;0;0;0;0;0;0;14250812;4260557420188;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Triphala BIO;619677150;14.11.2025;;1;0;0;0;0;0;0;upmGL239Y;4260557420812;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chrom Plus;626442427;14.11.2025;;1;0;0;0;0;0;0;upmL7ZDD2;4260557422946;0
