campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620565741;9.5.2026;cpc;1,21;;25;1;4;0;1,21;0;0;upmWCKTTE;4260309481214;1,21
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;643092529;9.5.2026;cpc;0,31;;28;0;0;0;0;0;0;upm97PFY9;4260557421826;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;9.5.2026;cpc;1,01;;25;1;4;0;1,01;0;0;14250551;4260309484208;1,01
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;643090107;9.5.2026;cpc;0,31;;33;0;0;0;0;0;0;upmD3U322;4260557421192;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;649122256;9.5.2026;cpc;0,31;;31;0;0;0;0;0;0;upmD23XCL;4260557422823;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;658280127;9.5.2026;cpc;0,31;;27;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;9.5.2026;cpc;0,51;;24;0;0;0;0;0;0;upmHCULGA;4260557422755;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola Rosea;658445094;9.5.2026;cpc;0,31;;30;1;4,166667;0;0,31;0;0;14251036;4260557420102;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO +  Clorella BIO;658331796;9.5.2026;cpc;0,51;;24;1;4,166667;0;0,51;0;0;14250597;4260309484185;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;627592060;9.5.2026;cpc;0,51;;24;1;4,166667;0;0,51;0;0;upmHHT433;4260557421390;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643050566;9.5.2026;cpc;0,31;;33;0;0;0;0;0;0;14250692;4260309483065;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;626442685;9.5.2026;cpc;0,51;;24;1;4,166667;0;0,51;0;0;upmXXW9XA;4260557423059;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620608017;9.5.2026;cpc;0,51;;24;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;9.5.2026;cpc;0,51;;23;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;9.5.2026;cpc;1,51;;23;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643077960;9.5.2026;cpc;0,31;;30;1;4,347826;0;0,31;0;0;14250692;4260309483065;0,31
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;620530762;9.5.2026;cpc;1,51;;23;0;0;0;0;0;0;upmK3CG99;4260557422656;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Biancospino BIO;620566747;9.5.2026;cpc;0,51;;22;0;0;0;0;0;0;upmXW7KXD;4260557420720;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;643079421;9.5.2026;cpc;0,31;;28;0;0;0;0;0;0;14250551;4260309484208;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;620566536;9.5.2026;cpc;0,51;;22;0;0;0;0;0;0;upmUPLLZH;4260557420676;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353187;9.5.2026;cpc;0,51;;22;0;0;0;0;0;0;14251183;4260309481672;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620565118;9.5.2026;cpc;0,51;;22;1;4,545455;0;0,51;0;0;14250692;4260309483065;0,51
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;658280164;9.5.2026;cpc;0,31;;27;1;4,545455;0;0,31;0;0;upm2FC2LC;4260557422885;0,31
