campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saccharomyces boulardii;658347619;16.10.2025;;31;0;0;0;0;0;0;upmWDER3T;4260557421949;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;641622752;16.10.2025;;31;1;3,225806;0;0,51;0;0;upmTZFCGA;4260557422199;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO NAC;649114668;16.10.2025;;31;0;0;0;0;0;0;upmMWPTCY;4260557422564;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ginkgo + Ginseng;649102509;16.10.2025;;31;0;0;0;0;0;0;upmF3XUHA;4260557422106;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Chrom Plus;649145953;16.10.2025;;30;0;0;0;0;0;0;upmL7ZDD2;4260557422946;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;643094026;16.10.2025;;30;1;3,333333;0;0,31;0;0;upmMPKDE7;4260557422311;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353188;16.10.2025;;29;0;0;0;0;0;0;14251183;4260309481672;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Plus 1000 ?g;641650965;16.10.2025;;29;1;3,448276;0;0,51;0;0;upmYTFGGU;4260557420522;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutatione Complex;649148339;16.10.2025;;29;2;6,896552;0;1,02;0;0;upmLCF24D;4260557423035;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;625767437;16.10.2025;;29;0;0;0;0;0;0;14250841;4260309481108;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Creatin Monohydrat Pulver;658295752;16.10.2025;;28;0;0;0;0;0;0;upmFRZEFX;4260557423226;0
